#{"t_start": 1784203429.0314035, "env_id": "snake-image-v0"}
r,l,t
-12.2,13,0.828626
-18.95,31,0.850282
-13.9,9,0.856451
-10.9,4,0.859114
-17.35,22,0.874818
-12.35,6,0.879299
-12.35,6,0.883383
-2.25,16,0.895969
-10.65,3,0.898196
-13.55,10,0.905379
-3.35,19,1.215326
-10.65,3,1.217945
-10.55,4,1.221024
-20.15,22,1.238703
-15.65,12,1.247334
-11.15,3,1.249332
-10.7,5,1.253278
-19.75,36,1.278116
-11.45,7,1.283098
-15.55,23,1.299665
-44.8,88,1.500091
-10.65,3,1.502801
-13.55,15,1.513251
-17.9,16,1.524387
-11.4,5,1.52805
-10.65,3,1.530217
-12.8,8,1.672968
-12.4,9,1.679342
-24.45,24,1.696298
-20.4,28,1.716163
-15.3,30,1.73836
-12.0,13,1.747708
-14.95,11,1.755884
-11.5,6,1.899178
-18.25,26,1.918286
-10.75,3,1.920583
-12.45,16,1.931754
-15.4,16,1.942808
-10.9,5,1.946464
-10.75,76,2.1378
-12.55,10,2.14496
-10.65,7,2.149697
-15.15,11,2.157207
-34.0,61,2.200021
-22.55,32,2.361197
-17.4,16,2.372499
-23.9,34,2.396708
-12.55,8,2.402534
-11.25,6,2.406795
-14.4,16,2.418329
-14.85,24,2.434946
-16.85,19,2.586058
-12.85,11,2.593562
-17.65,24,2.611641
-10.45,3,2.613888
-11.05,6,2.617892
-18.5,13,2.627475
-10.65,2,2.628853
-11.15,3,2.630885
-10.75,3,2.632894
-10.75,3,2.634997
-10.35,2,2.636508
-26.0,68,2.82304
-12.45,10,2.830199
-18.0,24,2.84713
-12.8,5,2.850674
-11.2,5,2.85444
-11.65,7,2.85933
-3.75,27,2.878523
-12.6,6,2.882557
-10.75,3,2.884643
-11.65,6,2.889009
-17.65,26,3.045066
-10.75,6,3.049304
-13.2,9,3.055728
-13.95,11,3.063547
-15.75,15,3.074849
-10.05,2,3.07625
-17.45,24,3.093701
-11.65,4,3.09656
-11.25,43,3.127616
-10.3,2,3.128955
-11.2,4,3.131642
-13.1,22,3.286356
-19.4,20,3.300365
-5.85,27,3.319222
-22.55,30,3.34007
-15.0,18,3.354089
0.0,2,3.355761
-15.35,23,3.509451
-12.4,5,3.513479
-10.25,2,3.514811
-2.65,15,3.52525
-23.0,32,3.548255
-15.4,20,3.562206
-17.2,18,3.574895
-14.6,17,3.587144
-11.85,6,3.591327
-6.15,19,3.744921
-10.85,3,3.747013
-1.45,11,3.755154
-13.45,11,3.763131
-12.85,7,3.767833
-14.7,13,3.777405
-12.5,5,3.780922
-10.75,4,3.783629
-11.35,7,3.788622
-10.15,2,3.790172
-10.75,4,3.792894
-10.4,2,3.794725
-11.25,7,3.799484
-11.4,5,3.803225
-13.6,13,3.812237
-15.75,10,3.819539
-14.55,8,3.825214
-16.35,15,3.971648
-10.45,4,3.974407
-10.35,2,3.97589
-20.8,30,3.997797
-10.9,4,4.000559
-12.25,7,4.005795
-15.1,13,4.014992
-10.3,2,4.016379
-10.75,3,4.01867
-14.6,13,4.02805
-10.25,3,4.030063
-13.7,20,4.044413
-10.75,3,4.046641
-12.5,9,4.053015
-10.2,2,4.194111
-12.3,5,4.197549
-10.95,3,4.199721
-11.95,7,4.204664
-10.65,2,4.206058
-10.65,3,4.208068
-10.6,6,4.212472
-11.85,6,4.216825
-10.1,2,4.218181
-12.55,7,4.223407
-13.2,9,4.229993
-11.65,4,4.232703
-10.4,2,4.234072
-12.7,17,4.246404
-12.25,11,4.254456
-13.15,10,4.261775
-17.95,18,4.275095
-10.6,4,4.278142
-1.7,13,4.423815
-1.05,8,4.429677
-10.2,2,4.431022
-11.2,4,4.433972
-12.75,11,4.442158
-4.65,16,4.453759
-11.9,10,4.460802
-11.35,3,4.462973
-1.4,10,4.470434
