#{"t_start": 1784226815.766107, "env_id": "snake-v0"}
r,l,t
-10.15,16,0.774112
-10.03,4,0.933171
-10.19,20,0.977563
-10.33,34,1.058943
-10.19,20,1.102727
-10.12,13,1.142238
-10.19,20,1.186646
-10.01,2,1.216213
-10.18,19,1.259113
-10.44,45,1.377331
-10.31,32,1.456841
-10.01,2,1.458446
-10.04,5,1.46237
-10.44,45,1.592002
-11.18,119,1.886029
-0.6,62,2.050397
-1.82,184,2.553015
5.77,426,3.646757
-1.57,159,4.057982
-12.0,201,4.59095
-2.9,292,5.674626
-11.58,159,6.08811
-2.0,202,6.614897
7.31,272,7.31346
-10.75,76,7.490824
-0.9,92,7.744967
-2.07,209,8.279222
-12.0,201,8.795628
-1.05,107,9.040845
-12.0,201,9.893894
-12.0,201,10.384251
-10.58,59,10.542789
19.7,34,10.623065
-10.44,45,10.741998
17.74,230,11.314558
17.36,268,11.997922
-12.0,201,12.521403
18.0,204,13.038402
-10.76,77,13.209355
-12.0,201,14.064272
-12.0,201,14.548972
-12.0,201,15.065489
-12.0,201,15.584746
-2.8,282,16.272695
-2.05,207,16.791784
-2.53,255,17.432551
29.6,45,17.548173
-12.0,201,18.370531
-10.09,10,18.407218
-2.67,269,19.08209
-12.0,201,19.570234
-12.0,201,20.083596
5.91,412,21.12104
19.03,101,21.367082
6.12,391,22.646473
5.93,410,23.671366
-0.47,49,23.80181
7.29,274,24.495103
-10.96,97,24.736799
-12.0,201,25.259104
-12.0,201,25.78229
-12.0,201,26.270126
-12.0,201,27.066705
-0.58,60,27.194461
8.72,131,27.54181
28.85,120,27.8301
-0.75,77,28.026953
-2.02,204,28.545838
-12.0,201,29.029958
-2.11,213,29.581051
-12.0,201,30.065636
-10.3,31,30.145633
-12.0,201,31.016962
18.45,159,31.433836
-0.6,62,31.564061
-3.09,311,32.36167
18.53,151,32.72539
19.07,97,32.966162
-10.51,52,33.116849
7.67,236,33.685508
-12.0,201,34.203796
-2.36,238,35.169753
-3.08,310,35.93282
-10.37,38,36.046902
-3.11,313,36.81456
-10.06,7,36.847582
-12.0,201,37.333631
-2.43,245,37.941025
-10.11,12,37.978199
29.36,69,38.142913
7.89,214,38.702144
-10.48,49,38.822129
-2.71,273,39.852108
-10.2,21,39.895391
-12.0,201,40.410764
-2.01,203,40.928108
-12.0,201,41.416208
-12.0,201,41.93341
28.57,148,42.305225
9.63,40,42.39973
18.98,106,42.674924
-12.0,201,43.208997
-0.61,63,43.619415
-2.03,205,44.13033
-10.08,9,44.165405
7.92,211,44.687446
-12.0,201,45.199653
-12.0,201,45.683947
-12.0,201,46.203097
7.47,256,46.866328
7.41,262,47.518361
-2.04,206,48.341332
-3.88,390,49.324718
-10.21,22,49.397537
19.69,35,49.484604
7.75,228,50.069899
-1.18,120,50.399825
-1.51,153,50.77161
-12.0,201,51.323066
7.74,229,52.266325
19.21,83,52.471047
-0.2,22,52.54361
19.5,54,52.66746
18.26,178,53.115638
18.76,128,53.437566
18.78,126,53.761882
-10.17,18,53.804137
-12.0,201,54.320452
-10.83,84,54.524794
-10.49,50,54.646155
6.42,361,55.557535
7.67,236,56.127687
-12.0,201,56.950244
18.71,133,57.276361
19.31,73,57.470884
-12.0,201,57.958249
-2.05,207,58.477992
17.84,220,59.036175
-12.0,201,59.555127
-2.23,225,60.118202
18.53,151,60.724593
-10.03,4,60.727705
29.6,45,60.8453
18.71,133,61.197154
-12.0,201,61.685536
19.27,77,61.882326
-12.0,201,62.398592
-10.32,33,62.477764
-10.15,16,62.517446
-10.69,70,62.681519
-0.19,21,62.725022
-12.0,201,63.240084
29.56,49,63.36034
18.33,171,63.794652
56.48,360,65.028253
19.11,93,65.26954
29.2,85,65.476678
-10.14,15,65.515644
17.88,216,66.067411
28.01,204,66.557496
-12.0,201,67.072993
-10.46,47,67.198522
7.13,290,67.922402
7.85,218,68.478051
-12.0,201,69.164514
29.35,70,69.357382
9.17,86,69.560124
-12.0,201,70.074613
7.24,279,70.761747
18.77,127,71.08189
-12.0,201,71.567619
18.87,117,71.879368
19.3,74,72.04883
-0.95,97,72.289485
19.03,101,72.560196
-0.37,39,72.646052
-10.7,71,72.841927
9.4,63,73.376799
8.58,145,73.736654
-2.03,205,74.226136
17.84,220,74.785986
